name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Style Trends Luxury Unisex Salon,7200443322,"
No.1673, NIRMALA HOUSE, 15th Main Rd, H Block, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040",,None,"https://www.google.com/maps/place/Style+Trends+Luxury+Unisex+Salon/@13.0849996,80.1441406,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52658f7259a3bb:0x3c89b3aa6a4683bd!8m2!3d13.0871746!4d80.2012095!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11fj3zzfld?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Padi,4447778666,"
6/302, Mahatma Gandhi Rd, Kumaran Nagar, Padi, Chennai, Tamil Nadu 600050",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Padi/@13.0948614,80.1167695,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a526569f09ac8e3:0x709bc42d010c4ce3!8m2!3d13.0948614!4d80.1888673!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11kpdxfrqp?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
The Chennai Salon,7200869777,"
2, Golden George Rathnam Salai, Golden George Nagar, Mogappair East, Chennai, Tamil Nadu 600107",,None,"https://www.google.com/maps/place/The+Chennai+Salon/@13.0727358,80.10931,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a526153ab337b05:0xa411a07752ce5315!8m2!3d13.0727358!4d80.1814078!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11y5mgvgrx?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Love Unisex Salon,9342797125,"
115, Jawaharlal Nehru salai, 100feet road, Arumbakkam, Chennai, Tamil Nadu 600026",,"Social only: 
instagram.com","https://www.google.com/maps/place/Love+unisex+salon/@13.0593992,80.139276,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267981ee600bf:0x79fa637a0d90b2fc!8m2!3d13.0593992!4d80.2113738!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11ln5n0jjs?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
