name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Style Trends Luxury Unisex Salon,7200443322,"
No.1673, NIRMALA HOUSE, 15th Main Rd, H Block, Anna Nagar West, Anna Nagar West Extension, Chennai, Tamil Nadu 600040",,None,"https://www.google.com/maps/place/Style+Trends+Luxury+Unisex+Salon/@13.061382,80.1773118,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52658f7259a3bb:0x3c89b3aa6a4683bd!8m2!3d13.0871746!4d80.2012095!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11fj3zzfld?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Toni&Guy Hairdressing Phoenix Mall Velachery,8925915916,"
Shop No.26, 2nd, Phoenix Market City, 142, Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042",,"Social only: 
instagram.com","https://www.google.com/maps/place/Toni%26Guy+Hairdressing,+Phoenix+Mall+%7C+Velachery/@13.0825766,80.1715609,13z/data=!3m1!5s0x3a52676235f014b5:0x14c7f6f647af2310!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52676234379079:0xf14be23b635e0728!8m2!3d12.9913026!4d80.2166199!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F12613yc1x?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Shahnaz Husain International Franchise Salon Annanagar Chennai Best Salon For Hair Skin Bridal And Nail Salon,9790837218,"
1st Floor, 16/118, 8th Main Rd, Block AI, AI Block, Anna Nagar, Chennai, Tamil Nadu 600040",,"Social only: 
instagram.com","https://www.google.com/maps/place/Shahnaz+Husain+International+Franchise+Salon+%E2%80%93+Annanagar,+Chennai+%7C+Best+Salon+for+Hair,+Skin,+Bridal+and+Nail+salon/@13.0877008,80.1510563,13z/data=!3m1!5s0x3a5264206576bbfd:0x6af6a3c585ec13c8!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5265a563f73d33:0x88e160ed7463b212!8m2!3d13.080747!4d80.212049!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11vdlqy009?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Anna Nagar,9946595595,"
No 19/1, Thirumeni Amman Kovil Street, LD : Near Khalids Briyani, Thirumangalam Junction, 2nd Ave, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Anna+Nagar/@13.0877008,80.1510563,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5265a2aae3ba93:0x5d90fb882a591a6d!8m2!3d13.0855208!4d80.1995207!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11stphg_zl?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
The Chennai Salon,7200869777,"
2, Golden George Rathnam Salai, Golden George Nagar, Mogappair East, Chennai, Tamil Nadu 600107",,None,"https://www.google.com/maps/place/The+Chennai+Salon/@13.0717405,80.1597765,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a526153ab337b05:0xa411a07752ce5315!8m2!3d13.0727358!4d80.1814078!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11y5mgvgrx?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Numbal,8317429265,"
29, Mettu Rd, Kamatchi Nagar, Numbal, Poonamallee, Chennai, Tamil Nadu 600077",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Numbal/@13.1108279,80.1713313,13z/data=!3m1!5s0x3a5266778ae55191:0x5eb6b8a621f5fe92!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a526113f11a20e3:0x57873bd956f6eee2!8m2!3d13.0484424!4d80.1375392!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11rtd4_16y?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Love Unisex Salon,9342797125,"
115, Jawaharlal Nehru salai, 100feet road, Arumbakkam, Chennai, Tamil Nadu 600026",,"Social only: 
instagram.com","https://www.google.com/maps/place/Love+unisex+salon/@13.0593992,80.139276,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267981ee600bf:0x79fa637a0d90b2fc!8m2!3d13.0593992!4d80.2113738!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11ln5n0jjs?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Jafferkhanpet,8015198597,"
31/1 V M, Balakrishnan St, Sathyamurthy Block, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Jafferkhanpet/@13.048191,80.196831,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267ba4707a5af:0x3b82f76749b3f3b7!8m2!3d13.0307579!4d80.2018626!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQpoYWlyX3NhbG9u4AEA!16s%2Fg%2F11t605k16t?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Mens Salon Royapettah,9894862423,"
46/248, Peter's Rd, Royapettah, Chennai, Tamil Nadu 600014",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men%E2%80%99s+Salon+Royapettah/@13.0507696,80.1458079,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52677f654b26a1:0x79c39732726db7d9!8m2!3d13.0536067!4d80.2682131!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQpoYWlyX3NhbG9u4AEA!16s%2Fg%2F11t28dgrgn?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
